ime,pozicija,starost,odigrane_tekme,prva_postava,igralni_cas,uspesni_meti,poskusi_metov,procent_metov,meti_za_tri,poskusi_za_tri,procent_za_tri,met_za_dve,poskus_za_dve,procent_za_dve
Denzel Valentine,SG,24,77,37,27.2,3.9,9.4,.417,1.9,4.8,.386,2.1,4.6,.450
Fred VanVleet,PG,23,76,0,20.0,3.1,7.2,.426,1.4,3.4,.414,1.6,3.7,.437
Rashad Vaughn,SG,21,28,0,7.6,0.8,2.0,.411,0.5,1.3,.378,0.3,0.7,.474
Noah Vonleh,PF,22,54,16,16.2,1.9,4.3,.444,0.4,1.2,.303,1.6,3.1,.500
Nikola Vucevic,C,27,57,57,29.5,7.0,14.7,.475,1.1,3.6,.314,5.9,11.2,.527
Dwyane Wade,SG,36,67,3,22.9,4.5,10.2,.438,0.5,1.7,.288,4.0,8.5,.468
Dion Waiters,SG,26,30,30,30.6,5.4,13.7,.398,1.7,5.7,.306,3.7,8.0,.463
Kemba Walker,PG,27,80,80,34.2,7.4,17.0,.431,2.9,7.5,.384,4.5,9.5,.469
John Wall,PG,27,41,41,34.4,6.8,16.3,.420,1.5,4.1,.371,5.3,12.2,.436
Tyrone Wallace,PG,23,30,19,28.4,3.7,8.2,.445,0.3,1.3,.250,3.3,6.9,.483
Taurean Waller-Prince,SF,23,82,82,30.0,5.1,11.9,.426,2.1,5.6,.385,2.9,6.3,.461
Derrick Walton,PG,22,16,0,9.2,0.5,1.6,.320,0.4,1.1,.412,0.1,0.5,.125
Jameel Warney,PF,24,3,0,9.0,2.3,4.0,.583,0.0,0.0,,2.3,4.0,.583
T.J. Warren,SF,24,65,65,33.0,8.1,16.4,.498,0.3,1.4,.222,7.8,15.0,.523
Travis Wear,SF,27,17,0,13.4,1.5,4.2,.347,1.0,2.8,.362,0.5,1.5,.320
James Webb,SF,24,10,0,12.0,0.6,2.4,.250,0.4,1.9,.211,0.2,0.5,.400
Briante Weber,PG,25,18,0,13.2,1.1,2.4,.442,0.2,0.6,.364,0.8,1.8,.469
David West,C,37,73,0,13.7,3.0,5.2,.571,0.0,0.1,.375,2.9,5.1,.576
Russell Westbrook,PG,29,80,80,36.4,9.5,21.1,.449,1.2,4.1,.298,8.3,17.0,.485
Andrew White,SF,24,15,0,13.9,1.7,4.9,.342,1.2,3.3,.367,0.5,1.6,.292
Derrick White,PG,23,17,0,8.2,0.9,1.9,.485,0.5,0.8,.615,0.5,1.2,.400
Okaro White,PF,25,6,4,13.3,1.2,2.7,.438,0.7,1.8,.364,0.5,0.8,.600
Isaiah Whitehead,PG,22,16,0,11.3,2.5,5.4,.465,0.4,1.1,.389,2.1,4.3,.485
Hassan Whiteside,C,28,54,54,25.3,5.8,10.7,.540,0.0,0.0,1.000,5.7,10.7,.538
Andrew Wiggins,SF,22,82,82,36.3,6.9,15.9,.438,1.4,4.1,.331,5.6,11.7,.475
Jacob Wiley,PF,23,5,0,6.6,0.2,0.8,.250,0.2,0.4,.500,0.0,0.4,.000
Damien Wilkins,SF,38,19,1,8.0,0.7,2.1,.333,0.2,0.9,.222,0.5,1.1,.429
Alan Williams,PF,25,5,0,14.0,1.4,3.6,.389,0.0,0.0,,1.4,3.6,.389
C.J. Williams,SG,27,38,17,18.6,2.3,5.2,.442,0.6,2.1,.282,1.7,3.1,.546
Derrick Williams,PF,26,2,0,4.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500
Lou Williams,SG,31,79,19,32.8,7.4,16.9,.435,2.4,6.6,.359,5.0,10.4,.484
Marvin Williams,PF,31,78,78,25.7,3.3,7.2,.458,1.6,3.9,.413,1.7,3.3,.512
Matt Williams,SG,24,3,0,3.7,0.7,2.0,.333,0.3,1.7,.200,0.3,0.3,1.000
Troy Williams,SF,23,21,1,14.6,2.4,5.2,.468,0.5,1.8,.289,1.9,3.4,.563
D.J. Wilson,PF,21,22,0,3.2,0.4,0.7,.563,0.1,0.2,.400,0.3,0.5,.636
Jamil Wilson,SF,27,15,10,18.3,2.5,5.4,.469,1.8,4.2,.429,0.7,1.2,.611
Justise Winslow,PF,21,68,25,24.7,3.0,7.2,.424,0.7,1.9,.380,2.3,5.3,.440
Jeff Withey,C,27,9,0,4.3,0.7,1.8,.375,0.2,1.1,.200,0.4,0.7,.667
Nate Wolters,PG,26,5,0,3.8,0.2,1.2,.167,0.0,0.0,,0.2,1.2,.167
Brandan Wright,PF,30,28,1,13.6,2.1,3.6,.578,0.0,0.0,,2.1,3.6,.578
Delon Wright,PG,25,69,4,20.8,2.9,6.3,.465,0.8,2.2,.366,2.1,4.0,.520
Guerschon Yabusele,PF,22,33,4,7.1,0.8,1.8,.426,0.4,1.1,.324,0.4,0.7,.583
James Young,SG,22,6,0,10.2,0.8,2.3,.357,0.5,1.7,.300,0.3,0.7,.500
Joe Young,PG,25,53,1,10.5,1.5,3.5,.430,0.5,1.2,.379,1.0,2.3,.458
Nick Young,SG,32,80,8,17.4,2.5,6.1,.412,1.5,4.1,.377,1.0,2.0,.481
Thaddeus Young,PF,29,81,81,32.2,5.2,10.7,.487,0.7,2.2,.320,4.5,8.4,.531
Cody Zeller,C,25,33,0,19.0,2.6,4.7,.545,0.1,0.1,.667,2.5,4.6,.542
Tyler Zeller,C,28,66,34,16.8,2.8,5.1,.560,0.2,0.4,.357,2.7,4.6,.578
Paul Zipser,SF,23,54,12,15.3,1.5,4.3,.346,0.7,2.0,.336,0.8,2.3,.355
Ante Zizic,C,21,32,2,6.7,1.5,2.1,.731,0.0,0.0,,1.5,2.1,.731
Ivica Zubac,C,20,43,0,9.5,1.4,2.8,.500,0.0,0.0,.000,1.4,2.8,.504
